amount,location,time,transactions,is_fraud
15092,Hyderabad,23:17,4,0
13934,Bangalore,02:37,7,0
12780,Mumbai,07:32,10,1
26562,Bangalore,13:14,8,0
1351,Mumbai,22:27,6,0
28721,Delhi,03:05,7,0
45582,Bangalore,08:51,1,0
16861,Chennai,02:35,5,0
47900,Bangalore,06:45,2,1
30371,Delhi,02:54,4,0
50323,Delhi,14:40,6,0
47066,Mumbai,21:17,12,1
9858,Bangalore,20:10,9,0
21917,Chennai,12:17,11,0
29285,Delhi,01:14,1,0
53081,Delhi,02:13,10,1
41745,Mumbai,20:31,7,1
60642,Mumbai,08:08,4,0
34938,Bangalore,13:57,10,0
29246,Mumbai,16:31,2,0
14871,Mumbai,20:10,11,0
8826,Chennai,12:38,8,0
2004,Hyderabad,21:56,9,0
45087,Hyderabad,09:27,3,0
35022,Bangalore,05:32,2,0
39617,Bangalore,19:12,3,0
21674,Bangalore,16:58,1,0
64542,Hyderabad,03:59,6,1
40806,Mumbai,01:15,10,1
11726,Chennai,02:48,9,1
17328,Chennai,17:10,5,0
55961,Mumbai,17:48,12,1
41357,Chennai,21:41,6,0
68339,Chennai,03:15,4,0
3257,Bangalore,17:14,10,0
9805,Hyderabad,07:04,1,0
9787,Bangalore,07:17,11,0
17842,Bangalore,18:30,4,0
53854,Mumbai,03:06,11,1
56019,Chennai,14:55,12,0
13399,Hyderabad,12:46,6,0
14822,Mumbai,06:12,9,0
55796,Mumbai,08:29,4,0
10380,Chennai,17:06,1,0
2434,Hyderabad,07:10,7,0
28516,Chennai,01:10,7,0
51673,Delhi,14:18,7,1
64288,Mumbai,06:18,4,0
8489,Delhi,01:03,10,1
21135,Hyderabad,16:05,3,1
9407,Mumbai,12:07,10,0
5709,Bangalore,02:26,11,1
69022,Delhi,08:13,11,1
31785,Delhi,12:08,11,0
60429,Delhi,02:00,8,1
13604,Hyderabad,17:13,9,0
46245,Hyderabad,07:23,5,0
40151,Bangalore,20:33,1,0
39740,Hyderabad,04:16,2,0
20874,Delhi,09:38,4,0
27185,Delhi,16:31,5,0
7158,Hyderabad,20:27,5,1
44219,Mumbai,20:16,3,0
56557,Bangalore,00:07,2,1
20036,Bangalore,01:53,6,0
19910,Chennai,04:02,5,0
5729,Delhi,06:43,4,0
46857,Bangalore,13:39,12,1
31529,Mumbai,05:56,7,1
44040,Chennai,21:55,12,1
35470,Mumbai,22:06,7,0
62194,Mumbai,06:52,8,1
30331,Mumbai,00:42,4,0
37017,Hyderabad,08:22,11,0
43904,Hyderabad,03:56,5,1
35295,Hyderabad,03:38,7,1
41614,Chennai,19:32,2,0
25414,Delhi,01:45,7,0
26325,Delhi,13:04,11,0
41645,Hyderabad,23:57,5,0
54028,Delhi,12:44,5,0
25644,Chennai,21:24,11,0
23310,Bangalore,18:19,7,0
553,Delhi,09:13,7,0
42737,Chennai,14:28,11,1
62521,Mumbai,21:05,5,0
44433,Hyderabad,07:43,5,0
26600,Mumbai,00:02,4,0
10045,Chennai,13:56,11,0
50828,Chennai,12:15,3,0
1226,Hyderabad,13:14,3,0
68389,Chennai,01:35,4,1
16406,Chennai,04:51,8,1
42088,Chennai,19:52,12,1
56433,Bangalore,14:57,3,0
62716,Chennai,08:48,4,0
36847,Bangalore,15:40,4,0
10655,Delhi,07:17,6,0
11061,Mumbai,04:14,7,1
28543,Hyderabad,13:26,6,0
54996,Hyderabad,06:53,7,1
3060,Bangalore,12:30,1,0
39639,Chennai,13:34,12,0
29406,Chennai,07:17,7,0
51468,Delhi,21:43,7,1
61761,Mumbai,19:34,1,0
4052,Hyderabad,20:27,3,0
24319,Hyderabad,08:24,6,0
43340,Delhi,12:17,7,1
11235,Chennai,00:47,9,0
46370,Mumbai,20:04,11,0
4567,Mumbai,06:53,1,0
31766,Mumbai,15:42,2,0
29069,Chennai,22:16,6,0
15512,Mumbai,09:06,10,1
41388,Bangalore,21:58,7,1
26495,Hyderabad,18:44,11,0
40029,Bangalore,03:50,10,1
46008,Bangalore,13:42,6,1
45225,Hyderabad,13:52,8,1
47972,Chennai,22:09,7,1
68886,Delhi,19:51,9,1
61431,Chennai,23:37,5,0
32677,Hyderabad,08:56,8,0
61410,Bangalore,19:42,7,1
65289,Delhi,05:31,4,0
34362,Delhi,08:56,10,0
36711,Bangalore,00:33,4,1
53771,Chennai,17:48,4,0
64832,Chennai,00:05,5,1
32390,Delhi,21:37,6,0
45556,Chennai,23:35,6,0
59973,Delhi,09:16,4,0
25742,Delhi,03:47,9,1
24767,Mumbai,06:47,8,0
69265,Bangalore,09:06,4,0
47801,Mumbai,09:00,12,1
36454,Hyderabad,01:35,5,0
17051,Chennai,03:55,1,0
62024,Chennai,14:21,3,0
33592,Chennai,03:52,2,0
10210,Bangalore,20:43,1,0
40324,Hyderabad,07:07,9,1
30081,Bangalore,12:28,8,0
56707,Delhi,18:39,1,0
13506,Mumbai,20:13,5,0
21085,Mumbai,05:35,2,0
54045,Chennai,22:38,8,1
30840,Delhi,22:18,12,0
9829,Mumbai,08:50,11,0
26428,Chennai,03:34,4,0
35316,Mumbai,02:03,3,0
38328,Chennai,03:29,12,1
53257,Delhi,16:34,8,1
5724,Chennai,23:20,10,0
12470,Mumbai,21:53,10,0
3219,Delhi,18:02,3,0
58463,Delhi,05:37,7,1
64951,Hyderabad,15:22,7,1
14210,Mumbai,10:26,12,0
52988,Bangalore,01:29,2,1
42872,Hyderabad,12:55,9,1
650,Bangalore,14:26,1,0
47919,Bangalore,15:40,8,1
27180,Delhi,17:08,5,0
64032,Hyderabad,00:40,10,1
21258,Delhi,17:00,9,0
29951,Hyderabad,14:07,11,0
65823,Delhi,16:45,5,0
63742,Chennai,07:29,9,1
25483,Bangalore,16:47,3,0
36708,Chennai,10:59,9,0
836,Delhi,23:19,10,0
64678,Mumbai,14:34,8,1
49941,Chennai,10:55,4,0
31800,Bangalore,12:14,7,1
62493,Chennai,12:42,11,1
65423,Hyderabad,04:32,10,1
13654,Chennai,03:33,8,0
19394,Chennai,20:09,2,0
35237,Delhi,19:44,7,0
43565,Bangalore,12:20,11,1
64456,Bangalore,01:39,2,1
38167,Mumbai,23:05,7,0
